2026-07-03 17:10:55,761 | INFO | app | ==================================================
2026-07-03 17:10:55,761 | INFO | app | Dify Chat API 启动中...
2026-07-03 17:10:55,761 | INFO | app | Dify API Base: http://localhost/v1
2026-07-03 17:10:55,761 | INFO | app | 监听地址: 0.0.0.0:9000
2026-07-03 17:10:55,762 | INFO | app | ==================================================
2026-07-03 17:29:01,857 | INFO | app | ==================================================
2026-07-03 17:29:01,857 | INFO | app | Dify Chat API 启动中...
2026-07-03 17:29:01,857 | INFO | app | Dify API Base: http://localhost/v1
2026-07-03 17:29:01,857 | INFO | app | 监听地址: 0.0.0.0:9000
2026-07-03 17:29:01,858 | INFO | app | ==================================================
2026-07-03 17:34:19,357 | INFO | app | ==================================================
2026-07-03 17:34:19,357 | INFO | app | Dify Chat API 启动中...
2026-07-03 17:34:19,357 | INFO | app | Dify API Base: http://localhost/v1
2026-07-03 17:34:19,357 | INFO | app | 监听地址: 0.0.0.0:9000
2026-07-03 17:34:19,358 | INFO | app | ==================================================
